r,b,d,  free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
0,0,0,6442252,9484,1026112,0,0,139,26,1001,1333,2,2,96,0,0
2,0,0,6443336,9484,1026228,0,0,0,48,3633,4427,2,2,95,0,0
0,0,0,6443008,9484,1026228,0,0,0,24,4014,5309,2,2,96,0,0
5,0,0,6438896,9484,1026308,0,0,80,0,3643,4713,2,2,95,0,0
1,0,0,6442196,9492,1026316,0,0,0,48,4819,7344,3,3,94,0,0
0,0,0,6441708,9492,1026428,0,0,100,8,4482,6553,2,2,95,0,0
0,0,0,6442188,9492,1026428,0,0,0,52,3636,4473,1,2,96,0,0
0,0,0,6442188,9492,1026428,0,0,0,0,3020,3763,1,1,97,0,0
0,0,0,6441896,9492,1026428,0,0,0,28,3549,4501,2,2,96,0,0
1,0,0,4690284,9492,1026428,0,0,0,0,3420,3459,3,11,87,0,0
3,0,0,658660,9508,1026432,0,0,0,88,4426,4253,5,21,74,0,0
0,0,0,137400,9508,1026432,0,0,0,44,3457,4038,3,4,93,0,0
0,0,0,138156,9508,1026436,0,0,0,4,4140,5728,3,2,95,0,0
0,0,0,138172,9508,1026436,0,0,0,20,3289,4248,2,2,96,0,0
0,0,0,137668,9520,1026436,0,0,4,48,3462,4520,2,2,96,0,0
0,0,0,136912,9520,1026460,0,0,20,8,4965,7590,3,3,94,0,0
0,0,0,136604,9520,1026468,0,0,0,52,4829,7174,3,2,95,0,0
0,0,0,136628,9520,1026640,0,0,284,0,3083,3781,1,2,97,0,0
0,0,0,135060,9520,1028472,0,0,1704,24,3448,4444,2,2,97,0,0
1,0,0,131280,9520,1032256,0,0,0,0,5732,7247,2,2,96,0,0
0,0,0,131232,8908,1032872,0,0,0,72,13108,16802,2,3,95,0,0
0,0,0,119208,8908,1046384,0,0,380,40,10427,16954,1,3,96,0,0
0,0,0,118768,8452,1047796,0,0,4,24,11372,14910,3,3,94,0,0
0,0,0,128304,7744,1038584,0,0,68,24,11394,14186,1,4,95,0,0
0,0,0,128224,7328,1039616,0,0,12,4,13120,16819,2,4,95,0,0
0,0,0,132620,7060,1034940,0,0,24,28,10069,12129,2,3,95,0,0
0,0,0,127580,6856,1040092,0,0,3236,32,14442,19218,4,5,91,0,0
0,0,0,140668,6284,1026720,0,0,132,20,12060,17612,3,4,93,0,0
0,0,0,126336,6300,1039824,0,0,840,36,12354,15672,2,3,94,1,0
1,0,0,127044,6004,1040372,0,0,1008,24,10569,13117,1,3,96,0,0
1,0,0,118256,6004,1051552,0,0,2160,0,8283,12281,2,3,95,0,0
0,0,0,119412,5696,1050528,0,0,292,84,10092,15828,2,2,96,0,0
0,0,0,120892,5516,1049660,0,0,700,0,12472,17635,2,4,94,0,0
1,0,0,123852,5300,1047016,0,0,252,48,8716,13242,2,3,95,0,0
0,0,0,134452,4872,1036288,0,0,584,0,13421,17169,1,3,96,0,0
1,0,0,121308,4872,1049996,0,0,300,32,12874,17052,1,3,96,0,0
1,0,0,129144,4504,1041860,0,0,308,24,8117,12125,2,2,96,0,0
0,0,0,127836,4528,1040896,0,0,948,48,8263,13239,3,4,93,0,0
1,0,0,119560,4640,1048632,0,0,544,0,8248,13666,2,3,95,0,0
2,0,0,122016,4484,1046840,0,0,636,24,9407,13540,1,3,96,0,0
2,0,0,128112,4140,1040848,0,0,6404,0,10608,15498,2,2,95,0,0
6,0,0,126716,4100,1041740,0,0,696,76,10910,14260,2,4,94,0,0
2,0,0,129324,3936,1047272,0,0,7620,60,10370,15837,4,3,93,1,0
0,0,0,152256,3336,1024688,0,0,1568,24,11301,16885,1,3,96,0,0
1,0,0,133260,3336,1045028,0,0,6240,0,12264,16691,2,3,94,0,0
0,0,0,137676,2928,1039688,0,0,4536,60,12638,16406,1,3,95,0,0
1,0,0,123620,3100,1055012,0,0,4028,0,10405,14963,2,2,96,0,0
1,0,0,119840,2956,1057152,0,0,9120,52,12959,16201,1,4,94,0,0
2,0,0,120180,2940,1054736,0,0,1504,0,10600,15983,2,5,92,0,0
1,0,0,127384,2816,1049056,0,0,2920,24,11015,15945,2,3,95,0,0
1,0,0,124360,2744,1052400,0,0,6428,0,12512,16163,1,3,95,0,0
2,0,0,136944,2432,1039800,0,0,2684,92,10441,15016,1,3,96,0,0
3,0,0,120784,2432,1055380,0,0,3332,28,8484,15629,2,2,95,0,0
2,0,0,120956,2272,1056208,0,0,6472,24,8564,13915,2,3,96,0,0
0,0,0,124280,2212,1054044,0,0,2452,0,10054,13862,1,3,96,0,0
0,0,0,124736,2128,1053824,0,0,4668,68,12017,16442,2,4,94,0,0
2,0,0,134296,1988,1044192,0,0,5080,20,10573,14665,2,3,95,0,0
2,0,0,126248,1756,1051236,0,0,20788,28,12167,14705,2,5,93,1,0
1,0,0,123744,1716,1052672,0,0,972,0,11921,14938,2,3,95,0,0
2,0,0,139972,1596,1037632,0,0,1852,24,13489,19081,3,5,92,0,0
3,0,0,124608,1688,1052692,0,0,7744,12,8201,12908,2,4,94,0,0
1,0,0,125788,1668,1051020,0,0,920,84,11551,14998,2,3,95,0,0
1,0,0,130308,1632,1047480,0,0,1992,28,10592,15008,2,3,95,0,0
2,0,0,120440,1632,1058072,0,0,704,24,12750,16162,1,4,95,0,0
1,0,0,126968,1636,1052620,0,0,3500,0,13181,17214,1,3,95,0,0
1,0,0,119124,1572,1060324,0,0,14920,56,12540,16186,2,3,95,0,0
1,0,0,133204,1612,1045380,0,0,5184,24,8539,12459,1,4,95,0,0
1,0,0,118636,1612,1060560,0,0,2344,28,11845,15002,1,3,96,0,0
1,0,0,129432,1556,1048780,0,0,224,0,8068,11690,1,3,96,0,0
1,0,0,118336,1580,1061200,0,0,4448,44,7539,11418,2,3,95,0,0
1,0,0,136944,1780,1040556,0,0,2252,0,13416,18702,2,4,94,0,0
1,0,0,122296,2132,1055524,0,0,996,64,15394,21037,3,4,93,0,0
0,0,0,126856,2128,1050892,0,0,1624,0,12299,16730,2,3,95,0,0
1,0,0,127752,2004,1048988,0,0,6120,72,12759,16599,2,4,94,0,0
0,0,0,122948,2004,1053396,0,0,3616,0,11417,14927,1,3,95,1,0
1,0,0,142296,1972,1034696,0,0,772,36,13230,17073,2,4,94,0,0
2,0,0,124900,2016,1053000,0,0,4640,24,10274,17102,2,3,95,0,0
1,0,0,145216,1920,1032576,0,0,1128,28,7549,11670,2,3,95,0,0
0,0,0,134292,1784,1043356,0,0,12784,0,12034,21258,2,3,95,0,0
1,0,0,133812,1768,1044488,0,0,5044,56,7975,14884,1,3,96,0,0
1,0,0,136016,1576,1042076,0,0,12524,0,11706,16077,1,4,94,1,0
1,0,0,135812,1556,1041016,0,0,4748,64,15203,19939,3,6,91,0,0
0,0,0,123748,1960,1052928,0,0,3500,0,9999,15694,2,5,93,0,0
0,0,0,129672,1804,1047988,0,0,4312,72,9229,12775,2,4,94,0,0
0,0,0,126440,1804,1050360,0,0,856,4,10309,15099,2,3,95,0,0
1,0,0,118360,1804,1060020,0,0,7968,60,8802,13071,2,3,95,0,0
0,0,0,121132,1796,1056020,0,0,2508,0,8236,13131,1,3,96,0,0
0,0,0,140236,1520,1037700,0,0,11564,48,10607,15378,2,2,96,0,0
2,0,0,122836,1520,1054604,0,0,4468,0,11343,15512,2,4,95,0,0
0,0,0,146724,1384,1029632,0,0,1116,24,7503,12112,2,3,95,0,0
0,0,0,134344,1384,1044036,0,0,3016,4,10400,13543,1,3,96,0,0
0,0,0,121444,1384,1056024,0,0,1112,48,7803,13138,2,4,95,0,0
0,0,0,129340,1500,1046064,0,0,6180,24,13643,19303,4,6,90,1,0
0,0,0,133460,1516,1041380,0,0,2444,84,10364,17510,2,5,93,0,0
0,0,0,123128,1516,1053668,0,0,96,0,10985,14562,2,2,96,0,0
0,0,0,121356,1504,1053608,0,0,1652,60,9680,13562,1,3,95,0,0
0,0,0,134736,1476,1039624,0,0,32,0,7518,11131,1,3,95,0,0
0,0,0,118836,1484,1055256,0,0,1604,48,7516,15379,1,2,97,0,0
1,0,0,134680,1428,1039388,0,0,480,0,9166,14736,1,4,95,0,0
0,0,0,118748,1428,1055312,0,0,2512,24,9646,16344,1,2,96,0,0
0,0,0,130316,1664,1044440,0,0,14584,0,10483,16011,2,4,94,1,0
1,0,0,119220,1668,1057724,0,0,3016,44,9517,13032,2,2,96,0,0
0,0,0,128748,1396,1046388,0,0,4976,48,9749,14213,2,4,93,0,0
0,0,0,137572,1580,1035428,0,0,7612,52,9846,15811,2,5,93,0,0
0,0,0,123936,1652,1049884,0,0,5872,0,8945,14983,2,3,95,0,0
0,0,0,120636,1840,1052772,0,0,8668,80,7802,12401,2,3,95,1,0
0,0,0,129416,1820,1043088,0,0,8756,0,13553,18029,2,4,94,0,0
1,0,0,130620,1800,1043760,0,0,4220,28,11953,17325,2,2,96,0,0
0,0,0,121792,1800,1054160,0,0,1548,0,8382,10252,1,4,95,0,0
0,0,0,137660,1676,1037388,0,0,2380,24,10936,15420,2,3,95,0,0
0,0,0,127540,1676,1047916,0,0,212,0,9049,11272,1,3,96,0,0
0,0,0,133312,1628,1040928,0,0,388,76,11551,15177,1,3,96,0,0
2,0,0,121688,1628,1053356,0,0,1252,28,11025,13992,2,3,95,0,0
0,0,0,133280,1724,1043960,0,0,14904,52,11196,13894,2,5,92,0,0
0,0,0,129136,1912,1044056,0,0,6196,0,14118,19261,3,6,91,0,0
1,0,0,140720,1780,1034252,0,0,4632,80,14196,19843,3,4,92,0,0
0,0,0,125796,1780,1048608,0,0,3444,0,10229,12898,1,4,95,0,0
3,0,0,125332,1448,1051268,0,0,17676,28,10993,15789,2,4,93,1,0
0,0,0,128576,1360,1044560,0,0,1140,0,10943,14311,1,4,95,0,0
1,0,0,127984,1488,1046028,0,0,1320,44,10446,12889,2,3,95,0,0
1,0,0,127780,1436,1046388,0,0,7900,0,8055,11683,1,3,96,0,0
0,0,0,119748,1436,1054368,0,0,684,44,6863,11128,1,2,96,0,0
0,0,0,140308,1316,1034472,0,0,2556,28,9522,13290,2,4,94,0,0
0,0,0,127092,1564,1047752,0,0,1768,28,11968,17177,2,2,95,0,0
0,0,0,145268,1476,1030032,0,0,2712,44,9586,16181,2,4,95,0,0
0,0,0,129320,1672,1044304,0,0,12596,60,13338,22961,3,5,91,1,0
0,0,0,129140,1872,1043716,0,0,3800,0,13018,19022,2,4,93,1,0
0,0,0,127084,1876,1046400,0,0,456,32,11445,18534,1,4,95,0,0
0,0,0,136816,1856,1035924,0,0,88,0,11166,19116,1,2,96,0,0
0,0,0,129240,1872,1044800,0,0,1484,60,7610,11639,2,2,96,0,0
0,0,0,139304,1844,1033624,0,0,2216,0,10917,14414,2,3,95,0,0
0,0,0,132736,1848,1041128,0,0,1064,44,6824,10980,2,2,96,0,0
0,0,0,123648,1856,1050952,0,0,668,0,9279,13450,2,2,96,0,0
1,0,0,119568,1812,1052956,0,0,1860,76,10176,18049,2,4,95,0,0
0,0,0,126168,1756,1048368,0,0,4684,24,8193,14333,2,3,95,0,0
0,0,0,136364,1860,1037840,0,0,9116,60,8949,13855,2,4,94,0,0
0,0,0,130892,2044,1040040,0,0,6860,0,9321,15358,3,4,92,0,0
0,0,0,120844,2088,1050960,0,0,2960,52,10117,16355,2,3,95,0,0
0,0,0,122736,2084,1050312,0,0,688,0,11757,16734,1,3,96,0,0
0,0,0,141192,1896,1032244,0,0,4716,24,10688,15674,1,3,95,0,0
0,0,0,119968,1896,1055144,0,0,10844,0,10686,14524,1,3,95,0,0
0,0,0,122872,1888,1050336,0,0,452,44,12140,15537,1,3,96,0,0
0,0,0,127188,1668,1046788,0,0,1120,0,7231,10562,1,2,96,0,0
0,0,0,127620,1672,1046624,0,0,7272,88,14962,19699,2,3,94,1,0
0,0,0,118208,1672,1054764,0,0,1396,24,10673,13638,2,4,95,0,0
0,0,0,125728,1408,1047848,0,0,6776,36,12175,15792,2,4,94,0,0
0,0,0,128824,1340,1044236,0,0,3372,24,7443,11290,2,3,95,1,0
3,0,0,120444,1312,1052148,0,0,13988,48,8099,14715,2,3,94,1,0
0,0,0,129188,1364,1046608,0,0,3172,0,12108,17257,4,6,91,0,0
0,0,0,142872,1444,1031708,0,0,928,24,9369,15537,2,3,95,0,0
0,0,0,119412,1568,1055836,0,0,13820,0,7915,13368,2,3,95,0,0
0,0,0,129304,1544,1045220,0,0,7088,44,11406,15415,1,4,95,0,0
0,0,0,142700,1476,1031204,0,0,1456,0,10515,14619,1,2,96,0,0
0,0,0,129988,1492,1044440,0,0,2168,88,12012,16632,2,3,95,0,0
0,0,0,131580,1400,1043908,0,0,8300,28,11880,17191,1,4,95,0,0
2,0,0,139092,1288,1035608,0,0,2608,80,12136,18024,2,3,95,0,0
0,0,0,131216,1288,1045528,0,0,688,0,8659,13169,2,3,96,0,0
0,0,0,127972,1112,1048184,0,0,2076,28,13319,17336,2,3,95,0,0
0,0,0,128476,1196,1047800,0,0,1548,0,12449,18848,2,3,95,0,0
0,0,0,126028,1380,1048536,0,0,1144,24,10259,15918,2,5,92,0,0
0,0,0,129320,1832,1041620,0,0,14860,0,13578,21232,3,4,93,0,0
5,0,0,126656,1848,1045760,0,0,2344,76,11745,16537,2,3,94,0,0
0,0,0,138848,1780,1034820,0,0,7084,0,11406,15254,2,4,93,0,0
2,0,0,127356,1780,1045700,0,0,4828,56,7170,11127,2,3,95,0,0
0,0,0,141700,1708,1032752,0,0,9032,0,11907,16173,2,4,93,1,0
0,0,0,144828,1572,1030176,0,0,16188,104,10861,15552,2,4,94,0,0
2,0,0,136008,1572,1039824,0,0,1688,0,7220,11429,1,2,97,0,0
1,0,0,119628,1572,1056468,0,0,4452,24,12021,15630,1,4,95,0,0
0,0,0,128456,1540,1046924,0,0,2412,0,10039,16535,1,2,96,0,0
2,0,0,119408,1548,1057152,0,0,1548,48,7730,12218,1,2,97,0,0
0,0,0,127464,1944,1044320,0,0,12420,0,9882,15828,3,6,91,0,0
1,0,0,139300,1812,1031272,0,0,4140,40,11399,16926,2,4,93,0,0
0,0,0,123424,1824,1047696,0,0,2788,0,12760,17119,1,3,95,0,0
0,0,0,135888,1676,1036024,0,0,3964,56,13933,18093,2,4,94,0,0
0,0,0,125636,1676,1047748,0,0,848,0,9996,12285,1,2,96,0,0
2,0,0,129156,1324,1044420,0,0,2740,116,12412,18162,2,4,94,0,0
0,0,0,131928,1244,1040484,0,0,7160,0,9572,13397,1,3,95,0,0
0,0,0,132464,1184,1040420,0,0,18764,28,14808,19198,2,4,94,1,0
0,0,0,123992,1184,1050936,0,0,2048,0,7121,11276,2,3,95,0,0
0,0,0,128836,1180,1045096,0,0,752,44,8820,11218,2,4,94,0,0
0,0,0,122204,1160,1053004,0,0,9112,0,10635,13160,2,4,95,0,0
1,0,0,126952,1396,1045772,0,0,2052,44,9157,18216,3,4,93,0,0
0,0,0,151468,1244,1021900,0,0,3208,0,9739,15564,2,4,93,0,0
0,0,0,134892,1252,1038644,0,0,2428,52,12562,17970,2,3,95,0,0
2,0,0,119472,1252,1055788,0,0,4960,24,11784,15168,1,3,96,0,0
2,0,0,126244,1180,1049428,0,0,11532,84,15904,20901,2,4,93,0,0
0,0,0,139332,1108,1035280,0,0,2284,4,9700,11756,1,4,95,0,0
