r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
1,0,0,6177196,14192,1285132,0,0,7,36,1009,1351,22,9,50,0,0
0,0,0,6178440,14192,1285132,0,0,0,16,3223,3973,22,9,70,0,0
0,0,0,6178164,14192,1285132,0,0,0,28,3645,4881,22,9,60,0,0
0,0,0,6178164,14192,1285132,0,0,0,0,3298,4258,22,9,70,0,0
0,0,0,6177880,14200,1285140,0,0,0,52,3692,4941,22,9,60,0,0
0,0,0,6173912,14200,1289020,0,0,0,0,3620,4540,22,9,60,0,0
3,0,0,6173684,14216,1289032,0,0,0,28,3589,4697,22,9,50,0,0
0,0,0,6160972,14216,1302748,0,0,0,24,10542,16962,3,5,92,0,0
0,0,0,6146876,14224,1317700,0,0,0,44,13798,18770,3,4,93,0,0
0,0,0,6131740,14224,1331796,0,0,0,0,13083,17784,2,4,94,0,0
0,0,0,6120132,14232,1343948,0,0,0,56,10444,16056,1,2,96,0,0
0,0,0,6105516,14232,1358568,0,0,0,16,12591,16704,1,3,96,0,0
0,0,0,6089624,14240,1373388,0,0,0,52,10944,18870,1,2,97,0,0
0,0,0,6081504,14240,1380888,0,0,0,0,6826,10620,2,3,96,0,0
0,0,0,6070896,14256,1392220,0,0,0,72,10537,14717,2,3,96,0,0
0,0,0,6054744,14256,1407796,0,0,0,0,14633,18877,1,3,97,0,0
0,0,0,6041364,14264,1421064,0,0,0,88,12455,16101,2,2,95,0,0
0,0,0,6030488,14272,1431492,0,0,0,68,10257,15060,2,4,94,0,0
0,0,0,6017920,14272,1443480,0,0,0,28,11716,16676,3,5,92,0,0
0,0,0,6005452,14272,1455868,0,0,0,0,12711,17823,2,3,95,0,0
0,0,0,5994852,14272,1467424,0,0,0,24,9018,12437,1,3,96,0,0
0,0,0,5980668,14272,1481600,0,0,0,32,13366,18061,3,3,94,0,0
5,0,0,5967028,14280,1496332,0,0,0,48,10058,16805,3,3,94,0,0
0,0,0,5953576,14280,1509652,0,0,0,0,11264,15494,2,3,95,0,0
0,0,0,5946504,14304,1516412,0,0,0,96,6555,10416,2,2,96,0,0
0,0,0,5934408,14304,1527312,0,0,0,0,10000,14913,2,3,95,0,0
0,0,0,5917744,14304,1544868,0,0,0,56,14056,20884,2,3,96,0,0
0,0,0,5906096,14312,1556048,0,0,0,76,11205,15855,2,3,94,0,0
0,0,0,5896244,14312,1566920,0,0,0,24,10309,14959,2,3,95,0,0
0,0,0,5885708,14312,1577896,0,0,0,0,10168,15790,3,5,93,0,0
0,0,0,5874344,14312,1587076,0,0,0,28,9738,15065,2,3,95,0,0
0,0,0,5861200,14320,1600800,0,0,0,36,11909,16404,2,2,95,0,0
0,0,0,5852128,14320,1610080,0,0,0,28,8596,11819,2,3,95,0,0
0,0,0,5838236,14320,1623904,0,0,0,0,11918,15445,2,3,95,0,0
0,0,0,5822296,14320,1639460,0,0,0,28,10265,17243,2,3,95,0,0
0,0,0,5809160,14320,1652224,0,0,0,0,10493,13842,2,3,95,0,0
1,0,0,5794764,14328,1666940,0,0,4,84,12438,16291,1,4,95,0,0
0,0,0,5781124,14328,1679768,0,0,0,24,11562,15650,2,3,95,0,0
0,0,0,5765500,14328,1696060,0,0,0,52,15037,19460,4,4,92,0,0
0,0,0,5758428,14328,1703020,0,0,0,0,7033,10316,2,2,96,0,0
0,0,0,5750112,14336,1711340,0,0,0,44,9071,14649,3,4,92,0,0
1,0,0,5734960,14336,1725948,0,0,0,16,12605,17660,2,3,95,0,0
0,0,0,5722612,14336,1738240,0,0,0,28,10015,13047,2,4,95,0,0
0,0,0,5709224,14336,1751644,0,0,0,0,9823,12443,1,4,95,0,0
0,0,0,5697600,14336,1763160,0,0,0,28,8614,10250,1,3,95,0,0
0,0,0,5683204,14336,1777240,0,0,0,0,10017,13442,1,4,95,0,0
0,0,0,5670840,14352,1790732,0,0,0,72,11909,14957,2,3,96,0,0
1,0,0,5657420,14352,1803464,0,0,0,24,10943,13738,2,3,95,0,0
2,0,0,5642772,14360,1818576,0,0,0,72,11987,15792,1,3,95,0,0
0,0,0,5630124,14360,1831416,0,0,0,0,11778,14787,1,3,96,0,0
0,0,0,5617272,14360,1843216,0,0,0,24,11231,14310,2,3,95,0,0
0,0,0,5601316,14360,1858980,0,0,0,16,14909,20037,3,5,92,0,0
0,0,0,5585700,14360,1874516,0,0,0,48,12684,19484,3,4,93,0,0
1,0,0,5572020,14368,1888072,0,0,0,12,9831,14092,1,3,95,0,0
0,0,0,5559640,14376,1901076,0,0,0,48,8520,14409,1,2,96,0,0
0,0,0,5546472,14376,1913352,0,0,0,0,12026,15443,1,3,96,0,0
0,0,0,5535400,14376,1925440,0,0,0,40,10332,14872,1,2,96,0,0
0,0,0,5521256,14376,1939148,0,0,0,4,12355,17506,2,4,94,0,0
1,0,0,5513428,14384,1947012,0,0,0,96,8228,12471,2,3,95,0,0
0,0,0,5501804,14384,1960024,0,0,0,0,12354,16266,1,2,96,0,0
0,0,0,5485912,14384,1974172,0,0,0,28,10875,14380,2,3,95,0,0
0,0,0,5474792,14384,1985184,0,0,0,16,9302,14513,2,2,95,0,0
0,0,0,5457936,14384,1999932,0,0,0,28,11743,19802,3,5,91,0,0
0,0,0,5444416,14392,2013076,0,0,0,12,13816,18697,2,3,94,0,0
0,0,0,5433320,14400,2024820,0,0,0,48,10799,13495,2,2,96,0,0
0,0,0,5417012,14400,2040900,0,0,0,0,10936,17731,2,3,95,0,0
1,0,0,5409584,14400,2049616,0,0,0,60,8084,12031,2,3,95,0,0
0,0,0,5397220,14400,2062852,0,0,0,0,11963,16036,2,4,94,0,0
0,0,0,5381744,14416,2077440,0,0,0,48,13216,19677,3,3,94,0,0
0,0,0,5368412,14416,2091992,0,0,0,0,11037,15891,1,2,96,0,0
0,0,0,5351748,14424,2107072,0,0,0,48,11248,16290,1,4,95,0,0
0,0,0,5339084,14424,2119872,0,0,0,16,11840,15617,2,2,96,0,0
0,0,0,5324720,14424,2134036,0,0,0,32,12032,15877,2,4,95,0,0
0,0,0,5313352,14424,2143812,0,0,0,0,10335,16726,3,4,93,0,0
0,0,0,5305788,14424,2151960,0,0,0,32,8284,13375,3,3,94,0,0
0,0,0,5299904,14432,2158580,0,0,0,12,6801,9933,23,9,60,0,
0,0,0,5288620,14440,2170220,0,0,0,84,10288,13150,1,3,95,0,0
0,0,0,5274460,14440,2184872,0,0,0,0,11496,16961,3,3,94,0,0
0,0,0,5263892,14440,2196304,0,0,2,56,9008,15237,2,2,95,0,0
0,0,0,5251496,14440,2209780,0,0,0,20,10703,15765,2,3,95,0,0
4,0,0,5239132,14448,2222420,0,0,0,48,10824,16336,1,3,96,0,0
1,0,0,5228044,14448,2233784,0,0,0,16,9863,13968,2,3,95,0,0
1,0,0,5216420,14448,2245224,0,0,0,24,9658,16171,3,2,95,0,0
1,0,0,5204512,14448,2258156,0,0,0,0,11829,15094,1,3,96,0,0
0,0,0,5186308,14448,2272516,0,0,0,28,11476,15319,2,6,92,0,0
2,0,0,5176884,14456,2283316,0,0,0,12,10670,16470,3,3,94,0,0
0,0,0,5170048,14464,2290192,0,0,0,80,7088,11179,2,3,95,0,0
5,0,0,5159448,14464,2301384,0,0,0,0,10499,14683,1,2,96,0,0
1,0,0,5147572,14464,2313504,0,0,0,56,11888,15606,2,3,96,0,0
1,0,0,5132420,14472,2327436,0,0,0,44,11584,15574,1,4,95,0,0
2,0,0,5131908,14472,2327264,0,0,0,28,4251,5615,23,9,50,0,
0,0,0,5131916,14472,2327388,0,0,0,16,12126,16322,2,3,95,0,0
1,0,0,5132640,14472,2327408,0,0,0,24,9988,14533,1,2,97,0,0
1,0,0,5132576,14472,2327448,0,0,0,0,12775,16828,1,2,96,0,0
1,0,0,5132780,14488,2327400,0,0,0,60,14843,19500,2,3,95,0,0
5,0,0,5131904,14488,2327348,0,0,0,0,14200,18385,2,3,95,0,0
1,0,0,5129284,14488,2327264,0,0,0,60,12186,16729,3,4,93,0,0
2,0,0,5128764,14488,2327272,0,0,0,0,12985,20099,2,3,95,0,0
2,0,0,5128748,14496,2327192,0,0,0,48,12074,17597,2,2,96,0,0
1,0,0,5128716,14496,2327164,0,0,0,48,10896,15778,2,3,95,0,0
